ride_id,rideable_type,started_at,ended_at,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,member_casual
F401BE7190EFAC63,classic_bike,2022-01-31 09:05:13.517,2022-02-01 10:05:10.750,Forsyth St\t& Grand St,,40.71779817737835,-73.99316132068634,,,member
D1F52FAFD66A0700,classic_bike,2022-01-31 16:21:13.386,2022-02-01 17:20:54.606,Forsyth St\t& Grand St,,40.71779817737835,-73.99316132068634,,,casual
6ED4B7ABAF6EB8A9,classic_bike,2022-01-31 16:03:40.678,2022-02-01 17:03:33.550,E 20 St & 2 Ave,,40.73587678,-73.98205027,,,member
3D753F5B4C7550E4,classic_bike,2022-01-31 19:05:30.420,2022-02-01 20:05:31.879,Allen St & Hester St,,40.71561,-73.99214,,,member
E3ADE9E7E6DC1EDD,electric_bike,2022-01-31 14:34:04.263,2022-02-01 15:33:46.499,W 50 St & 9 Ave,,40.76360467795863,-73.98917958140373,,,member
988D8406B89F091C,classic_bike,2022-01-31 06:37:05.749,2022-02-01 07:36:59.568,W 33 St & 7 Ave,,40.75019995,-73.99093085,,,member
2A4286C71F8B6954,electric_bike,2022-01-31 12:14:21.919,2022-02-01 13:14:15.122,MacDougal St & Prince St,,40.72710258,-74.00297088,,,member
C87F80A1988A1904,classic_bike,2022-01-31 19:23:40.370,2022-02-01 20:23:31.047,E 15 St & 3 Ave,,40.734232,-73.986923,,,member
DF51A32630D55450,electric_bike,2022-01-31 21:51:43.278,2022-02-01 22:51:33.650,West St & Chambers St,,40.71754834,-74.01322069,,,casual
3967CB83EFAFFA2D,classic_bike,2022-01-31 14:07:38.269,2022-02-01 15:07:36.125,Broadway & W 53 St,,40.76344058,-73.98268129,,,member
CC55FA8E434F4987,classic_bike,2022-01-31 13:53:44.293,2022-02-01 14:53:34.240,Broadway & Moylan Pl,,40.8143256,-73.9590255,,,member
EF917FA539729266,classic_bike,2022-01-31 16:15:49.884,2022-02-01 17:15:43.030,W 15 St & 6 Ave,,40.738046142482766,-73.99642959237099,,,member
3DD50E9A25D74B79,electric_bike,2022-01-31 13:51:51.674,2022-02-01 14:51:44.615,Canal St & Rutgers St,,40.71427487,-73.98990025,,,member
5282A9BC0B94AC5C,electric_bike,2022-01-31 12:59:55.610,2022-02-01 13:59:56.542,Graham Ave & Withers St,,40.7169811,-73.94485918,,,member
09B5921CC9B7F8DB,electric_bike,2022-01-31 14:45:08.765,2022-02-01 06:48:14.299,Forest Ave & Summerfield St,,40.69922,-73.89795,40.71,-73.93,member
F025107F161749AF,classic_bike,2022-01-31 13:13:04.648,2022-02-01 14:12:59.069,1 Ave & E 39 St,,40.74714,-73.97113,,,member
E017E2D44624352B,electric_bike,2022-01-31 10:56:06.668,2022-02-01 11:56:00.526,St Marks Pl & 2 Ave,,40.7284186,-73.98713956,,,member
